Delitos Faltas: Nivel 1;Delitos Faltas: Nivel 2;Delitos Faltas: Nivel 3;Delitos Faltas: Nivel 4;Delitos Faltas: Nivel 5;Edad;Periodo;Total
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;;;15 años;2013;213
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;;;16 años;2023;327
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;;;16 años;2022;457
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;;;16 años;2021;420
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;;;16 años;2020;358
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;;;16 años;2019;391
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;;;16 años;2018;346
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;;;16 años;2017;336
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;;;16 años;2016;331
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;;;16 años;2015;348
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;;;16 años;2014;354
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;;;16 años;2013;393
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;;;17 años;2023;514
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;;;17 años;2022;612
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;;;17 años;2021;590
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;;;17 años;2020;450
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;;;17 años;2019;589
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;;;17 años;2018;521
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;;;17 años;2017;501
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;;;17 años;2016;468
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;;;17 años;2015;520
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;;;17 años;2014;511
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;;;17 años;2013;577
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;Total;2023;329
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;Total;2022;402
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;Total;2021;352
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;Total;2020;310
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;Total;2019;314
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;Total;2018;222
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;Total;2017;243
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;Total;2016;184
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;Total;2015;234
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;Total;2014;249
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;Total;2013;222
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;14 años;2023;30
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;14 años;2022;21
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;14 años;2021;26
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;14 años;2020;27
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;14 años;2019;19
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;14 años;2018;12
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;14 años;2017;13
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;14 años;2016;13
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;14 años;2015;24
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;14 años;2014;20
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;14 años;2013;12
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;15 años;2023;57
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;15 años;2022;66
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;15 años;2021;58
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;15 años;2020;43
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;15 años;2019;48
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;15 años;2018;38
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;15 años;2017;40
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;15 años;2016;25
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;15 años;2015;38
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;15 años;2014;43
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;15 años;2013;27
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;16 años;2023;87
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;16 años;2022;114
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;16 años;2021;99
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;16 años;2020;112
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;16 años;2019;98
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;16 años;2018;69
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;16 años;2017;65
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;16 años;2016;65
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;16 años;2015;57
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;16 años;2014;77
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;16 años;2013;77
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;17 años;2023;155
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;17 años;2022;201
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;17 años;2021;169
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;17 años;2020;128
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;17 años;2019;149
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;17 años;2018;103
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;17 años;2017;125
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;17 años;2016;81
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;17 años;2015;115
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;17 años;2014;109
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.3 Contra la salud pública;;17 años;2013;106
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;Total;2023;850
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;Total;2022;1.068
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;Total;2021;1.041
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;Total;2020;837
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;Total;2019;987
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;Total;2018;982
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;Total;2017;906
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;Total;2016;862
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;Total;2015;1.004
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;Total;2014;931
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;Total;2013;1.035
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;14 años;2023;105
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;14 años;2022;116
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;14 años;2021;103
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;14 años;2020;105
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;14 años;2019;86
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;14 años;2018;98
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;14 años;2017;87
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;14 años;2016;97
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;14 años;2015;111
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;14 años;2014;92
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;14 años;2013;83
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;15 años;2023;155
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;15 años;2022;200
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;15 años;2021;207
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;15 años;2020;168
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;15 años;2019;177
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;15 años;2018;192
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;15 años;2017;180
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;15 años;2016;118
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;15 años;2015;203
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;15 años;2014;167
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;15 años;2013;178
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;16 años;2023;234
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;16 años;2022;342
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;16 años;2021;317
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;16 años;2020;244
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;16 años;2019;291
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;16 años;2018;276
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;16 años;2017;266
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;16 años;2016;264
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;16 años;2015;288
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;16 años;2014;276
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;16 años;2013;308
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;17 años;2023;356
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;17 años;2022;410
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;17 años;2021;414
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;17 años;2020;320
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;17 años;2019;433
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;17 años;2018;416
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;17 años;2017;373
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;17 años;2016;383
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;17 años;2015;402
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;17 años;2014;396
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.4 Contra la seguridad vial;;17 años;2013;466
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;Total;2023;20
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;Total;2022;16
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;Total;2021;20
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;Total;2020;11
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;Total;2019;21
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;Total;2018;12
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;Total;2017;22
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;Total;2016;10
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;Total;2015;13
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;Total;2014;12
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;Total;2013;22
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;14 años;2023;7
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;14 años;2022;9
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;14 años;2021;5
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;14 años;2020;1
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;14 años;2019;5
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;14 años;2018;6
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;14 años;2017;9
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;14 años;2016;3
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;14 años;2015;3
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;14 años;2014;3
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;14 años;2013;1
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;15 años;2023;4
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;15 años;2022;5
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;15 años;2021;4
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;15 años;2020;6
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;15 años;2019;7
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;15 años;2018;3
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;15 años;2017;5
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;15 años;2016;1
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;15 años;2015;4
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;15 años;2014;2
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;15 años;2013;8
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;16 años;2023;6
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;16 años;2022;1
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;16 años;2021;4
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;16 años;2020;2
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;16 años;2019;2
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;16 años;2018;1
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;16 años;2017;5
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;16 años;2016;2
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;16 años;2015;3
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;16 años;2014;1
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;16 años;2013;8
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;17 años;2023;3
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;17 años;2022;1
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;17 años;2021;7
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;17 años;2020;2
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;17 años;2019;7
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;17 años;2018;2
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;17 años;2017;3
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;17 años;2016;4
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;17 años;2015;3
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;17 años;2014;6
Total Infracciones;A Delitos;17 Contra la seguridad colectiva;17.99 Otros delitos contra la seguridad colectiva;;17 años;2013;5
Total Infracciones;A Delitos;18 Falsedades;;;Total;2023;48
Total Infracciones;A Delitos;18 Falsedades;;;Total;2022;66
Total Infracciones;A Delitos;18 Falsedades;;;Total;2021;65
Total Infracciones;A Delitos;18 Falsedades;;;Total;2020;36
Total Infracciones;A Delitos;18 Falsedades;;;Total;2019;54
Total Infracciones;A Delitos;18 Falsedades;;;Total;2018;62
Total Infracciones;A Delitos;18 Falsedades;;;Total;2017;67
Total Infracciones;A Delitos;18 Falsedades;;;Total;2016;49
Total Infracciones;A Delitos;18 Falsedades;;;Total;2015;50
Total Infracciones;A Delitos;18 Falsedades;;;Total;2014;62
Total Infracciones;A Delitos;18 Falsedades;;;Total;2013;50
Total Infracciones;A Delitos;18 Falsedades;;;14 años;2023;6
Total Infracciones;A Delitos;18 Falsedades;;;14 años;2022;6
Total Infracciones;A Delitos;18 Falsedades;;;14 años;2021;7
Total Infracciones;A Delitos;18 Falsedades;;;14 años;2020;2
Total Infracciones;A Delitos;18 Falsedades;;;14 años;2019;3
Total Infracciones;A Delitos;18 Falsedades;;;14 años;2018;3
Total Infracciones;A Delitos;18 Falsedades;;;14 años;2017;5
Total Infracciones;A Delitos;18 Falsedades;;;14 años;2016;2
Total Infracciones;A Delitos;18 Falsedades;;;14 años;2015;6
Total Infracciones;A Delitos;18 Falsedades;;;14 años;2014;3
Total Infracciones;A Delitos;18 Falsedades;;;14 años;2013;3
Total Infracciones;A Delitos;18 Falsedades;;;15 años;2023;6
Total Infracciones;A Delitos;18 Falsedades;;;15 años;2022;5
Total Infracciones;A Delitos;18 Falsedades;;;15 años;2021;9
Total Infracciones;A Delitos;18 Falsedades;;;15 años;2020;9
Total Infracciones;A Delitos;18 Falsedades;;;15 años;2019;7
Total Infracciones;A Delitos;18 Falsedades;;;15 años;2018;6
Total Infracciones;A Delitos;18 Falsedades;;;15 años;2017;9
Total Infracciones;A Delitos;18 Falsedades;;;15 años;2016;7
Total Infracciones;A Delitos;18 Falsedades;;;15 años;2015;13
Total Infracciones;A Delitos;18 Falsedades;;;15 años;2014;10
Total Infracciones;A Delitos;18 Falsedades;;;15 años;2013;6
Total Infracciones;A Delitos;18 Falsedades;;;16 años;2023;17
Total Infracciones;A Delitos;18 Falsedades;;;16 años;2022;19
Total Infracciones;A Delitos;18 Falsedades;;;16 años;2021;15
Total Infracciones;A Delitos;18 Falsedades;;;16 años;2020;11
Total Infracciones;A Delitos;18 Falsedades;;;16 años;2019;16
Total Infracciones;A Delitos;18 Falsedades;;;16 años;2018;23
Total Infracciones;A Delitos;18 Falsedades;;;16 años;2017;21
Total Infracciones;A Delitos;18 Falsedades;;;16 años;2016;14
Total Infracciones;A Delitos;18 Falsedades;;;16 años;2015;15
Total Infracciones;A Delitos;18 Falsedades;;;16 años;2014;19
Total Infracciones;A Delitos;18 Falsedades;;;16 años;2013;18
Total Infracciones;A Delitos;18 Falsedades;;;17 años;2023;19
Total Infracciones;A Delitos;18 Falsedades;;;17 años;2022;36
Total Infracciones;A Delitos;18 Falsedades;;;17 años;2021;34
Total Infracciones;A Delitos;18 Falsedades;;;17 años;2020;14
Total Infracciones;A Delitos;18 Falsedades;;;17 años;2019;28
Total Infracciones;A Delitos;18 Falsedades;;;17 años;2018;30
Total Infracciones;A Delitos;18 Falsedades;;;17 años;2017;32
Total Infracciones;A Delitos;18 Falsedades;;;17 años;2016;26
Total Infracciones;A Delitos;18 Falsedades;;;17 años;2015;16
Total Infracciones;A Delitos;18 Falsedades;;;17 años;2014;30
Total Infracciones;A Delitos;18 Falsedades;;;17 años;2013;23
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;Total;2023;30
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;Total;2022;51
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;Total;2021;40
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;Total;2020;28
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;Total;2019;43
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;Total;2018;48
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;Total;2017;44
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;Total;2016;41
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;Total;2015;42
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;Total;2014;50
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;Total;2013;40
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;14 años;2023;3
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;14 años;2022;5
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;14 años;2021;4
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;14 años;2020;0
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;14 años;2019;1
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;14 años;2018;2
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;14 años;2017;3
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;14 años;2016;1
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;14 años;2015;5
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;14 años;2014;3
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;14 años;2013;3
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;15 años;2023;2
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;15 años;2022;4
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;15 años;2021;5
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;15 años;2020;8
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;15 años;2019;6
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;15 años;2018;6
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;15 años;2017;6
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;15 años;2016;5
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;15 años;2015;9
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;15 años;2014;7
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;15 años;2013;6
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;16 años;2023;11
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;16 años;2022;14
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;16 años;2021;9
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;16 años;2020;8
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;16 años;2019;16
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;16 años;2018;14
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;16 años;2017;14
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;16 años;2016;12
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;16 años;2015;13
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;16 años;2014;15
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;16 años;2013;14
Total Infracciones;A Delitos;18 Falsedades;18.2 Falsedades documentales;;17 años;2023;14
