Delitos Faltas: Nivel 1;Delitos Faltas: Nivel 2;Delitos Faltas: Nivel 3;Delitos Faltas: Nivel 4;Delitos Faltas: Nivel 5;Edad;Periodo;Total
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;16 años;2015;13
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;16 años;2014;14
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;16 años;2013;18
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;17 años;2023;38
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;17 años;2022;42
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;17 años;2021;27
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;17 años;2020;27
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;17 años;2019;16
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;17 años;2018;14
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;17 años;2017;18
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;17 años;2016;12
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;17 años;2015;19
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;17 años;2014;15
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;17 años;2013;20
Total Infracciones;A Delitos;3 Lesiones;;;Total;2023;7.695
Total Infracciones;A Delitos;3 Lesiones;;;Total;2022;8.113
Total Infracciones;A Delitos;3 Lesiones;;;Total;2021;8.917
Total Infracciones;A Delitos;3 Lesiones;;;Total;2020;6.227
Total Infracciones;A Delitos;3 Lesiones;;;Total;2019;7.701
Total Infracciones;A Delitos;3 Lesiones;;;Total;2018;6.698
Total Infracciones;A Delitos;3 Lesiones;;;Total;2017;5.671
Total Infracciones;A Delitos;3 Lesiones;;;Total;2016;4.225
Total Infracciones;A Delitos;3 Lesiones;;;Total;2015;2.281
Total Infracciones;A Delitos;3 Lesiones;;;Total;2014;2.163
Total Infracciones;A Delitos;3 Lesiones;;;Total;2013;2.149
Total Infracciones;A Delitos;3 Lesiones;;;14 años;2023;1.403
